chr	pos	strand	Zm_shoot_1	Zm_shoot_2	Zm_root_1	Zm_root_2
1	35	-	0	0	1	0
1	9475	-	1	0	0	1
1	9573	-	0	0	0	1
1	62605	+	0	0	1	0
1	65061	+	0	0	0	1
1	77966	-	0	0	1	0
1	83243	-	0	0	0	1
1	91455	-	0	1	0	0
1	110763	-	0	0	1	0
1	130329	-	0	0	1	0
1	153584	+	0	0	2	0
1	159438	-	0	0	0	1
1	161932	+	0	0	0	1
1	170529	+	0	0	0	1
1	187152	+	0	0	1	1
1	229551	+	0	0	0	1
1	232837	+	0	2	0	1
1	238565	+	0	0	1	0
1	238699	-	0	0	1	4
1	244949	-	0	0	3	0
1	245517	-	0	0	1	0
1	249969	+	0	0	0	1
1	250191	-	0	0	2	0
1	250491	-	0	0	1	0
1	251038	-	0	0	2	0
1	251111	-	0	0	4	0
1	255688	-	0	0	1	0
1	260971	+	0	1	0	0
1	264150	-	0	0	3	2
1	264978	+	0	0	2	0
1	270685	+	3	0	0	0
1	271028	-	0	1	0	0
1	277509	+	0	1	0	0
1	290815	+	0	0	0	1
1	293560	-	0	0	1	0
1	332160	+	0	0	0	1
1	365430	+	3	0	0	0
1	367160	+	14	34	0	0
1	368445	+	0	0	3	0
1	368482	+	0	0	1	0
1	368485	+	0	0	1	0
1	368518	-	0	0	2	0
1	368527	+	0	0	2	0
1	368576	+	0	0	0	1
1	368580	+	0	0	2	0
1	368621	+	1	0	3	2
1	368623	+	0	0	1	2
1	368626	+	0	0	0	3
1	368629	+	0	0	6	0
1	368632	+	0	0	0	2
1	368638	+	0	0	1	1
1	368700	+	0	0	7	6
1	368703	+	0	0	1	2
1	368726	+	0	0	4	3
1	368729	+	0	0	1	4
1	368757	+	0	0	0	1
1	368760	+	0	0	10	6
1	368836	+	0	0	1	0
1	368839	+	0	0	8	0
1	368945	+	0	0	10	6
1	369255	+	0	0	2	2
1	369258	+	0	0	0	1
1	369299	-	0	0	1	0
1	369508	+	0	0	1	0
1	369799	+	53	7	0	0
1	369816	+	0	0	6	0
1	369955	+	0	0	0	1
1	370192	+	0	0	0	1
1	370210	+	0	0	1	0
1	370240	+	0	0	3	0
1	370346	+	0	0	3	0
1	370410	+	0	0	2	2
1	370413	+	0	0	1	2
1	370505	+	0	0	8	14
1	370530	+	0	0	1	1
1	370599	+	0	0	4	1
1	370602	+	0	0	1	1
1	370605	+	0	0	1	1
1	370712	+	0	0	1	0
1	486597	-	0	0	1	0
1	515004	+	0	3	1	1
1	516166	-	0	0	1	0
1	516167	-	0	0	0	1
1	524507	-	0	0	0	2
1	544686	+	0	0	2	0
1	545420	-	0	0	1	0
1	546417	+	0	0	1	1
1	630151	+	0	0	1	0
1	631097	-	1	0	1	0
1	644796	+	0	1	1	0
1	651264	+	0	0	1	1
1	655265	+	0	0	0	1
1	656410	-	0	1	0	0
1	680030	+	0	0	1	1
1	696742	-	0	0	2	4
1	844902	-	0	0	1	0
1	872137	-	0	0	0	1
1	983323	-	0	0	0	1
1	990587	-	0	0	2	0
1	994449	-	0	0	1	0
1	994582	-	0	1	0	0
1	995175	+	0	0	0	1
1	995342	+	0	0	3	0
1	995358	+	0	0	0	1
1	996060	+	0	0	0	1
1	996063	+	4	0	0	0
1	996249	+	0	0	0	1
1	996423	+	1	0	0	1
1	999634	-	0	0	0	1
1	1002640	-	0	0	1	0
1	1002741	-	0	1	0	0
1	1008997	-	0	0	1	1
1	1030188	+	0	0	0	1
1	1034308	-	0	1	0	0
1	1039168	+	0	0	4	4
1	1039171	+	3	9	12	4
