# HOMER Peaks
# Peak finding parameters:
# tag directory = tagDir_root/
#
# total peaks = 6689
# peak size = 150
# peaks found separately for each strand
# minimum distance between peaks = 300
# fragment length = 0
# genome size = 2000000000
# Total tags = 206252.0
# Total tags in peaks = 173087.0
# Approximate IP efficiency = 83.92%
# tags per bp = 0.000103
# expected tags per peak = 0.008
# maximum tags considered per bp = 0.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.666873e-08
# FDR tag threshold = 3.0
# number of putative peaks = 7029
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 340
#
# cmd = findPeaks tagDir_root/ -style tss -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Dispersion Ratio	Periodic Ratio
1-1	1	264274992	264275142	+	533910.0	1.000	11013.000000	144624.27	0.00e+00	0.999546	0.200000
5-1	5	216699003	216699153	+	431220.1	1.000	8894.000000	1168078.67	0.00e+00	1.000000	0.000000
7-1	7	172632547	172632697	+	388408.3	1.000	8011.000000	1052111.33	0.00e+00	1.000000	0.000000
7-2	7	33239993	33240143	+	379875.1	1.000	7835.000000	1028996.67	0.00e+00	1.000000	0.000000
1-2	1	292890052	292890202	-	177355.9	1.000	3658.000000	480417.33	0.00e+00	1.000000	0.000000
10-1	10	5225895	5226045	-	168046.9	1.000	3466.000000	455201.33	0.00e+00	1.000000	0.000000
9-1	9	14208496	14208646	+	164798.4	1.000	3399.000000	446402.00	0.00e+00	1.000000	0.000000
6-1	6	128743531	128743681	+	159077.2	1.000	3281.000000	215452.33	0.00e+00	0.999695	1.000000
3-1	3	22882796	22882946	-	152628.8	1.000	3148.000000	413437.33	0.00e+00	1.000000	0.000000
8-1	8	129307956	129308106	-	105114.1	1.000	2168.000000	284730.67	0.00e+00	1.000000	0.000000
2-1	2	21417192	21417342	+	103659.6	1.000	2138.000000	280790.67	0.00e+00	1.000000	0.000000
