# HOMER Peaks
# Peak finding parameters:
# tag directory = posFile_91_92/
#
# total peaks = 27084
# peak size = 150
# peaks found separately for each strand
# minimum distance between peaks = 300
# fragment length = 0
# genome size = 2000000000
# Total tags = 5988795.0
# Total tags in peaks = 5289437.0
# Approximate IP efficiency = 88.32%
# tags per bp = 0.002994
# expected tags per peak = 0.225
# maximum tags considered per bp = 0.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.470486e-07
# FDR tag threshold = 6.0
# number of putative peaks = 34369
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 7285
#
# cmd = findPeaks posFile_91_92/ -style tss -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Dispersion Ratio	Periodic Ratio
4-1	4	1079018	1079168	+	1018426.9	0.996	609922.000000	19797.87	0.00e+00	0.991963	0.748470
2-1	2	18759421	18759571	-	327017.4	0.998	195899.000000	7747.24	0.00e+00	0.994833	0.445652
10-1	10	34240583	34240733	+	104705.5	0.971	62783.000000	1285.17	0.00e+00	0.971199	0.135659
4-2	4	152459545	152459695	-	102419.6	0.992	61560.000000	1647.36	0.00e+00	0.992712	0.724832
1-1	1	222643807	222643957	+	48248.4	0.988	28955.000000	3994.61	0.00e+00	0.987823	0.704545
1-2	1	194243643	194243793	+	39924.6	0.998	23916.000000	26168.17	0.00e+00	0.998285	0.317073
6-1	6	156319430	156319580	-	33514.3	0.996	20079.000000	1678.98	0.00e+00	0.978029	0.442177
6-2	6	124985517	124985667	+	32485.7	0.900	19488.000000	7019.48	0.00e+00	0.885942	0.417305
10-2	10	144892971	144893121	-	31508.8	0.989	18930.000000	7204.24	0.00e+00	0.989242	0.615764
9-1	9	118709013	118709163	-	29673.8	0.996	17773.000000	3579.64	0.00e+00	0.961060	0.599711
5-1	5	47608115	47608265	+	27220.8	0.951	16416.000000	1583.58	0.00e+00	0.951049	0.553885
8-1	8	102060898	102061048	-	27194.1	0.995	16287.000000	3221.23	0.00e+00	0.994351	0.641304
8-2	8	90247346	90247496	+	26940.3	0.997	16276.000000	4106.46	0.00e+00	0.817838	0.024498
3-1	3	165765676	165765826	+	26427.7	0.949	15923.000000	1191.87	0.00e+00	0.953371	0.857724
5-2	5	191964204	191964354	-	21854.1	0.980	13141.000000	2636.34	0.00e+00	0.980058	0.570881
1-3	1	264274998	264275148	+	21298.1	0.945	12846.000000	3172.65	0.00e+00	0.941592	0.267114
1-4	1	110498950	110499100	+	21179.6	0.986	12690.000000	8329.16	0.00e+00	0.992983	0.584270
6-3	6	163078667	163078817	+	20024.1	0.979	12002.000000	2371.91	0.00e+00	0.978235	0.172414
5-3	5	191005981	191006131	+	17125.3	0.975	10436.000000	2259.99	0.00e+00	0.975527	0.386454
3-2	3	24097529	24097679	-	16719.6	1.000	10013.000000	12892.56	0.00e+00	0.999401	0.333333
1-5	1	74272162	74272312	-	16031.6	0.987	9608.000000	2660.19	0.00e+00	0.990730	0.573034
2-2	2	25439308	25439458	-	14420.3	0.960	8931.000000	687.39	0.00e+00	0.817740	0.147395
6-4	6	4596812	4596962	+	14280.0	0.998	8553.000000	10799.64	0.00e+00	0.990061	0.341176
5-4	5	195239832	195239982	+	14093.0	0.928	8492.000000	2225.81	0.00e+00	0.940640	0.373253
7-1	7	41438367	41438517	-	13991.1	0.976	8479.000000	756.84	0.00e+00	0.981632	0.272727
4-3	4	20572716	20572866	-	13640.5	0.918	8239.000000	4433.31	0.00e+00	0.912964	0.745429
1-6	1	248925078	248925228	-	13588.7	0.995	8186.000000	3106.95	0.00e+00	0.994102	0.750000
10-3	10	146789852	146790002	-	13547.0	0.999	8118.000000	6743.72	0.00e+00	0.999630	1.000000
10-4	10	8853856	8854006	-	13525.3	0.957	8107.000000	5065.71	0.00e+00	0.957901	0.847507
1-7	1	292162367	292162517	+	13450.1	0.975	8072.000000	3412.55	0.00e+00	0.954811	0.052198
10-5	10	58309675	58309825	+	13425.1	0.900	8061.000000	256.91	0.00e+00	0.867413	0.268293
3-3	3	168878575	168878725	+	13418.4	0.984	8089.000000	380.46	0.00e+00	0.987183	0.757282
3-4	3	130544685	130544835	+	13363.3	0.963	8039.000000	4453.65	0.00e+00	0.965138	0.623656
3-5	3	97032402	97032552	-	13086.1	0.985	7859.000000	1390.89	0.00e+00	0.984816	0.873950
7-2	7	132216187	132216337	+	13044.4	0.861	7866.000000	2003.86	0.00e+00	0.844854	0.034653
5-5	5	193359179	193359329	+	12630.3	0.993	7802.000000	599.16	0.00e+00	0.986379	0.349515
2-3	2	55393616	55393766	-	12556.8	0.985	7555.000000	3086.33	0.00e+00	0.985505	0.761468
1-8	1	180333556	180333706	+	12439.9	0.936	7458.000000	1681.16	0.00e+00	0.825235	0.419355
6-5	6	128648206	128648356	+	12439.9	0.958	7467.000000	6353.46	0.00e+00	0.959329	0.003300
7-3	7	3888867	3889017	+	12298.0	0.985	7365.000000	9483.04	0.00e+00	0.979905	0.351351
3-6	3	1711597	1711747	+	12271.2	0.764	7677.000000	299.93	0.00e+00	0.773210	0.488595
1-9	1	184733615	184733765	-	12231.2	0.957	7328.000000	1098.19	0.00e+00	0.965461	0.197628
8-4	8	10989987	10990137	+	12112.6	0.995	7254.000000	10355.35	0.00e+00	0.977116	0.987952
2-4	2	54246354	54246504	-	12085.9	0.963	7276.000000	5166.25	0.00e+00	0.991987	0.482759
7-4	7	11447619	11447769	-	11875.5	0.987	7165.000000	2638.54	0.00e+00	0.987205	0.593407
3-7	3	225869053	225869203	-	11775.3	0.995	7087.000000	5788.52	0.00e+00	0.995320	0.424242
1-10	1	247606517	247606667	+	11710.2	0.999	7014.000000	3936.07	0.00e+00	0.995437	0.062500
9-2	9	11500890	11501040	+	11673.5	0.970	7005.000000	599.32	0.00e+00	0.957517	0.451178
9-3	9	23749016	23749166	+	11566.6	0.995	6932.000000	17495.12	0.00e+00	0.993937	0.666667
8-3	8	69108691	69108841	+	10955.5	0.996	7617.000000	268.27	0.00e+00	0.986189	0.637363
4-4	4	143891294	143891444	+	10666.6	0.948	6395.000000	3202.13	0.00e+00	0.976205	0.618421
4-5	4	240651887	240652037	+	10524.7	0.979	6308.000000	521.28	0.00e+00	0.985404	0.586957
2-5	2	30802787	30802937	-	10491.3	0.990	6333.000000	3274.47	0.00e+00	0.964667	0.031532
10-6	10	68938750	68938900	-	10451.2	0.970	6291.000000	570.05	0.00e+00	0.969005	0.108247
5-6	5	9485303	9485453	-	10264.2	0.945	6178.000000	264.17	0.00e+00	0.981942	0.207207
7-5	7	174614552	174614702	+	10254.1	0.960	6165.000000	2859.99	0.00e+00	0.987309	0.153846
2-6	2	41935469	41935619	-	10112.2	0.991	6056.000000	960.57	0.00e+00	0.959214	0.457490
7-6	7	33389772	33389922	-	10038.7	0.902	6021.000000	1827.72	0.00e+00	0.950623	0.377104
4-6	4	43082411	43082561	+	9955.3	0.987	5963.000000	13500.16	0.00e+00	0.942972	0.805882
3-8	3	230529825	230529975	+	9714.8	0.990	5832.000000	6822.30	0.00e+00	0.987459	0.835616
1-11	1	293240705	293240855	+	9713.1	0.936	5817.000000	2053.67	0.00e+00	0.502665	0.247494
4-7	4	59678613	59678763	-	9683.1	0.960	5806.000000	4427.92	0.00e+00	0.890326	0.715409
8-5	8	162859244	162859394	-	9674.7	0.990	5841.000000	839.90	0.00e+00	0.946860	0.376623
3-9	3	155017192	155017342	-	9651.4	0.982	5800.000000	1069.16	0.00e+00	0.976120	0.543478
2-7	2	190149529	190149679	+	9552.8	0.907	5746.000000	2276.84	0.00e+00	0.907184	0.007533
10-7	10	69100153	69100303	-	9477.7	0.932	5694.000000	2286.65	0.00e+00	0.932347	0.111979
8-6	8	118570493	118570643	-	9436.0	0.952	5711.000000	1585.82	0.00e+00	0.949761	0.369718
3-10	3	129173955	129174105	+	9359.1	0.989	5607.000000	15335.90	0.00e+00	0.997324	0.800000
7-8	7	154225502	154225652	-	9334.1	0.988	5592.000000	4588.46	0.00e+00	0.954204	0.125000
7-7	7	2137524	2137674	+	9270.6	0.921	5690.000000	1506.53	0.00e+00	0.767662	0.797537
5-7	5	4102625	4102775	-	9197.2	0.977	5518.000000	2511.75	0.00e+00	0.981118	0.403846
6-6	6	3573680	3573830	+	9167.1	0.985	5495.000000	741.79	0.00e+00	0.984335	0.104651
8-7	8	148795406	148795556	-	9120.4	0.437	5465.000000	3260.65	0.00e+00	0.219701	0.597286
5-8	5	5197747	5197897	+	8913.3	0.904	5338.000000	10309.67	0.00e+00	0.902773	0.034682
2-8	2	203404997	203405147	-	8891.6	0.976	5328.000000	5142.28	0.00e+00	0.953991	0.571429
4-8	4	20529082	20529232	+	8816.5	0.979	5297.000000	6420.74	0.00e+00	0.953246	0.591093
10-8	10	90215594	90215744	-	8783.1	0.997	5652.000000	602.80	0.00e+00	0.988199	0.387097
8-8	8	161569247	161569397	+	8739.7	0.850	5268.000000	2564.92	0.00e+00	0.837378	0.321974
10-9	10	144915946	144916096	-	8591.0	0.972	5145.000000	591.69	0.00e+00	0.988338	0.650000
1-12	1	200504320	200504470	+	8567.7	0.980	5151.000000	1871.86	0.00e+00	0.982460	0.377778
8-9	8	168296663	168296813	+	8524.3	0.988	5114.000000	2993.11	0.00e+00	0.967483	0.668675
6-7	6	6905588	6905738	-	8500.9	0.835	5091.000000	655.51	0.00e+00	0.800393	0.877953
